date,category,amount,description
2021-01-01,Entertainment,138.89,Video games
2021-01-02,Transport,33.6,Parking fees
2021-01-03,Food,73.77,Restaurant dinner
2021-01-04,Entertainment,10.45,Concert tickets
2021-01-05,Transport,28.46,Gas
2021-01-06,Transport,76.99,Car maintenance
2021-01-07,Transport,8.52,Uber ride
2021-01-08,Food,85.43,Grocery shopping
2021-01-09,Utilities,84.85,Water bill
2021-01-10,Other,194.91,Home decor
2021-01-11,Transport,73.14,Public transport pass
2021-01-12,Transport,33.39,Public transport pass
2021-01-13,Transport,19.91,Car maintenance
2021-01-14,Food,56.91,Farmers market
2021-01-15,Entertainment,71.21,Books
2021-01-16,Other,134.46,Office supplies
2021-01-17,Entertainment,32.65,Books
2021-01-18,Utilities,119.8,Electricity bill
2021-01-19,Food,15.95,Coffee and snacks
2021-01-20,Entertainment,105.77,Video games
2021-01-21,Entertainment,134.05,Video games
2021-01-22,Entertainment,81.08,Streaming subscription
2021-01-23,Food,63.14,Takeout lunch
2021-01-24,Entertainment,139.9,Concert tickets
2021-01-25,Utilities,250.27,Electricity bill
2021-01-26,Entertainment,41.4,Movie tickets
2021-01-27,Other,59.0,Gift for friend
2021-01-28,Entertainment,76.41,Streaming subscription
2021-01-29,Entertainment,77.22,Books
2021-01-30,Utilities,294.28,Water bill
2021-01-31,Transport,17.47,Uber ride
2021-02-01,Transport,60.75,Gas
2021-02-02,Utilities,159.75,Water bill
2021-02-03,Entertainment,33.18,Concert tickets
2021-02-04,Utilities,233.63,Water bill
2021-02-05,Other,11.61,Personal care items
2021-02-06,Food,48.16,Restaurant dinner
2021-02-07,Entertainment,40.21,Books
2021-02-08,Other,176.76,Gift for friend
2021-02-09,Food,64.54,Restaurant dinner
2021-02-10,Other,34.49,Gift for friend
2021-02-11,Other,137.81,Office supplies
2021-02-12,Entertainment,11.92,Books
2021-02-13,Utilities,164.98,Internet bill
2021-02-14,Food,20.08,Coffee and snacks
2021-02-15,Entertainment,51.97,Books
2021-02-16,Transport,21.17,Uber ride
2021-02-17,Food,27.33,Restaurant dinner
2021-02-18,Utilities,275.58,Phone bill
2021-02-19,Food,24.28,Coffee and snacks
2021-02-20,Other,74.28,Home decor
2021-02-21,Utilities,59.44,Internet bill
2021-02-22,Entertainment,67.16,Concert tickets
2021-02-23,Utilities,219.03,Electricity bill
2021-02-24,Utilities,162.09,Gas bill
2021-02-25,Other,68.25,Clothing purchase
2021-02-26,Transport,18.17,Parking fees
2021-02-27,Other,93.43,Clothing purchase
2021-02-28,Other,188.62,Home decor
2021-03-01,Transport,76.75,Car maintenance
2021-03-02,Food,91.22,Takeout lunch
2021-03-03,Utilities,53.64,Electricity bill
2021-03-04,Entertainment,108.47,Books
2021-03-05,Other,14.53,Clothing purchase
2021-03-06,Entertainment,43.65,Streaming subscription
2021-03-07,Other,74.67,Gift for friend
2021-03-08,Food,70.35,Restaurant dinner
2021-03-09,Food,16.83,Restaurant dinner
2021-03-10,Entertainment,72.9,Concert tickets
2021-03-11,Utilities,260.39,Phone bill
2021-03-12,Utilities,194.86,Phone bill
2021-03-13,Transport,18.33,Parking fees
2021-03-14,Food,59.78,Coffee and snacks
2021-03-15,Utilities,263.02,Internet bill
2021-03-16,Entertainment,26.37,Streaming subscription
2021-03-17,Utilities,245.26,Internet bill
2021-03-18,Transport,77.87,Parking fees
2021-03-19,Transport,9.23,Public transport pass
2021-03-20,Other,124.49,Gift for friend
2021-03-21,Other,107.71,Gift for friend
2021-03-22,Transport,11.34,Gas
2021-03-23,Other,136.07,Clothing purchase
2021-03-24,Other,24.63,Clothing purchase
2021-03-25,Entertainment,137.61,Movie tickets
2021-03-26,Entertainment,140.83,Books
2021-03-27,Other,103.44,Clothing purchase
2021-03-28,Food,57.17,Restaurant dinner
2021-03-29,Entertainment,17.78,Video games
2021-03-30,Other,38.53,Home decor
2021-03-31,Entertainment,60.97,Concert tickets
2021-04-01,Transport,16.83,Parking fees
2021-04-02,Utilities,298.6,Electricity bill
2021-04-03,Transport,27.41,Parking fees
2021-04-04,Other,135.3,Office supplies
2021-04-05,Entertainment,10.57,Streaming subscription
2021-04-06,Other,132.87,Home decor
2021-04-07,Other,144.02,Clothing purchase
2021-04-08,Other,100.78,Personal care items
2021-04-09,Other,138.68,Personal care items
2021-04-10,Entertainment,40.86,Books
2021-04-11,Transport,10.97,Gas
2021-04-12,Other,32.69,Personal care items
2021-04-13,Utilities,183.86,Internet bill
2021-04-14,Utilities,266.59,Internet bill
2021-04-15,Food,79.23,Restaurant dinner
2021-04-16,Other,74.93,Personal care items
2021-04-17,Entertainment,109.65,Books
2021-04-18,Transport,73.32,Uber ride
2021-04-19,Other,171.85,Personal care items
2021-04-20,Utilities,270.43,Internet bill
2021-04-21,Food,86.99,Farmers market
2021-04-22,Utilities,77.39,Electricity bill
2021-04-23,Transport,78.5,Car maintenance
2021-04-24,Transport,11.37,Car maintenance
2021-04-25,Entertainment,30.69,Video games
2021-04-26,Utilities,88.15,Water bill
2021-04-27,Other,143.51,Gift for friend
2021-04-28,Transport,20.89,Public transport pass
2021-04-29,Transport,13.64,Gas
2021-04-30,Food,94.15,Takeout lunch
2021-05-01,Entertainment,141.57,Concert tickets
2021-05-02,Food,98.54,Restaurant dinner
2021-05-03,Transport,62.4,Gas
2021-05-04,Transport,78.8,Public transport pass
2021-05-05,Other,14.48,Office supplies
2021-05-06,Other,135.09,Home decor
2021-05-07,Utilities,77.67,Internet bill
2021-05-08,Entertainment,118.45,Concert tickets
2021-05-09,Entertainment,44.06,Concert tickets
2021-05-10,Transport,61.55,Public transport pass
2021-05-11,Transport,22.25,Gas
2021-05-12,Transport,72.63,Gas
2021-05-13,Other,94.4,Home decor
2021-05-14,Transport,70.45,Car maintenance
2021-05-15,Food,46.05,Farmers market
2021-05-16,Utilities,290.98,Gas bill
2021-05-17,Entertainment,53.22,Streaming subscription
2021-05-18,Utilities,258.37,Gas bill
2021-05-19,Food,68.17,Restaurant dinner
2021-05-20,Utilities,158.55,Electricity bill
2021-05-21,Food,44.35,Takeout lunch
2021-05-22,Entertainment,144.73,Books
2021-05-23,Transport,12.32,Uber ride
2021-05-24,Utilities,293.67,Internet bill
2021-05-25,Utilities,279.85,Phone bill
2021-05-26,Transport,43.83,Public transport pass
2021-05-27,Entertainment,37.66,Movie tickets
2021-05-28,Utilities,271.49,Gas bill
2021-05-29,Transport,31.95,Gas
2021-05-30,Transport,62.24,Car maintenance
2021-05-31,Food,39.36,Takeout lunch
2021-06-01,Food,30.2,Takeout lunch
2021-06-02,Other,167.64,Personal care items
2021-06-03,Other,91.82,Personal care items
2021-06-04,Utilities,236.86,Phone bill
2021-06-05,Food,53.31,Farmers market
2021-06-06,Transport,55.05,Uber ride
2021-06-07,Entertainment,69.08,Movie tickets
2021-06-08,Other,193.75,Clothing purchase
2021-06-09,Other,68.33,Personal care items
2021-06-10,Utilities,247.91,Internet bill
2021-06-11,Other,66.58,Gift for friend
2021-06-12,Utilities,197.16,Internet bill
2021-06-13,Transport,7.2,Uber ride
2021-06-14,Food,82.48,Restaurant dinner
2021-06-15,Utilities,261.29,Phone bill
2021-06-16,Other,31.78,Home decor
2021-06-17,Transport,46.32,Public transport pass
2021-06-18,Utilities,245.85,Water bill
2021-06-19,Transport,58.46,Gas
2021-06-20,Transport,77.47,Public transport pass
2021-06-21,Entertainment,108.66,Movie tickets
2021-06-22,Entertainment,68.53,Books
2021-06-23,Transport,58.93,Uber ride
2021-06-24,Utilities,278.8,Gas bill
2021-06-25,Food,99.05,Takeout lunch
2021-06-26,Other,179.16,Office supplies
2021-06-27,Food,75.66,Grocery shopping
2021-06-28,Entertainment,79.42,Concert tickets
2021-06-29,Other,121.79,Home decor
2021-06-30,Utilities,249.59,Internet bill
2021-07-01,Food,45.28,Takeout lunch
2021-07-02,Transport,10.82,Car maintenance
2021-07-03,Food,62.25,Coffee and snacks
2021-07-04,Utilities,147.45,Electricity bill
2021-07-05,Food,79.49,Coffee and snacks
2021-07-06,Other,120.27,Office supplies
2021-07-07,Utilities,288.49,Phone bill
2021-07-08,Entertainment,33.47,Movie tickets
2021-07-09,Utilities,231.77,Gas bill
2021-07-10,Other,129.72,Office supplies
2021-07-11,Other,29.8,Gift for friend
2021-07-12,Transport,58.57,Parking fees
2021-07-13,Entertainment,53.64,Movie tickets
2021-07-14,Food,33.81,Farmers market
2021-07-15,Transport,64.6,Gas
2021-07-16,Other,57.93,Clothing purchase
2021-07-17,Utilities,254.26,Electricity bill
2021-07-18,Food,74.75,Farmers market
2021-07-19,Transport,7.6,Car maintenance
2021-07-20,Transport,5.97,Gas
2021-07-21,Utilities,211.03,Electricity bill
2021-07-22,Other,97.99,Clothing purchase
2021-07-23,Other,117.6,Personal care items
2021-07-24,Utilities,104.33,Phone bill
2021-07-25,Utilities,112.89,Electricity bill
2021-07-26,Entertainment,94.5,Books
2021-07-27,Food,54.89,Restaurant dinner
2021-07-28,Entertainment,85.13,Streaming subscription
2021-07-29,Entertainment,72.79,Video games
2021-07-30,Other,50.88,Clothing purchase
2021-07-31,Utilities,266.37,Water bill
2021-08-01,Food,99.65,Restaurant dinner
2021-08-02,Other,168.35,Office supplies
2021-08-03,Food,52.55,Grocery shopping
2021-08-04,Entertainment,24.57,Video games
2021-08-05,Other,109.61,Clothing purchase
2021-08-06,Transport,48.32,Uber ride
2021-08-07,Other,152.74,Office supplies
